,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,mean_test_score,std_test_score,rank_test_score
3,0.20956962585449218,0.01164909494976636,0.01141064167022705,0.0020756587245346196,80,21,56,log2,35,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 21, 'min_samples_leaf': 56, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5985990712074303,0.030396406632638158,21
13,0.2661814284324646,0.013533811095010964,0.01365175485610962,0.001221727029294798,100,15,58,log2,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 58, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5985990712074302,0.03196929775736409,22
30,0.25627745628356935,0.00807217809915689,0.013383476734161378,0.0013329037107817768,100,21,58,log2,35,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 21, 'min_samples_leaf': 58, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5985990712074302,0.03196929775736409,22
20,0.23584305763244628,0.013195794207561817,0.01159229040145874,0.0016009221595608466,80,23,60,auto,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 23, 'min_samples_leaf': 60, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5985964912280701,0.031986562257196045,24
83,0.3945056986808777,0.018701939963904644,0.019504756927490235,0.001758134186014444,150,23,57,log2,25,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 23, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5985706914344685,0.03052352351879062,25
7,0.18625469207763673,0.014118218910661885,0.00992231845855713,0.0011891018549492456,70,17,58,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 17, 'min_samples_leaf': 58, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5984907120743034,0.031173019002239545,26
10,0.24123425483703614,0.01748172620925839,0.012672927379608154,0.0016501058234114638,90,15,60,auto,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 90, 'min_samples_split': 15, 'min_samples_leaf': 60, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5984404024767802,0.03161753334900242,27
19,0.4303824210166931,0.018657127042001658,0.01980491876602173,0.002135624122135653,150,23,58,log2,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 23, 'min_samples_leaf': 58, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5983978328173375,0.030817751294572093,28
73,0.21692867517471315,0.016428245204670115,0.01079240083694458,0.0022471248103374474,70,17,57,log2,40,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 17, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5983513931888546,0.03174408628218626,29
96,0.35950068712234495,0.02717027278442074,0.017914447784423828,0.002695475321615861,130,21,58,auto,35,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 21, 'min_samples_leaf': 58, 'max_features': 'auto', 'max_depth': 35, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5983088235294117,0.03125295509484109,30
